3201316,-74,-6,16780,15,25,-4,-52,2,8358,0,1,-1
3259476,-96,26,16776,14,26,-4,-49,-9,8348,0,1,-1
3277968,-106,16,16638,15,26,-3,-48,-3,8355,0,1,-1
3297940,-82,34,16754,15,25,-3,-45,0,8357,0,1,-1
3317932,-148,10,16750,15,26,-4,-41,7,8357,0,1,-1
3337912,-172,18,16720,14,25,-4,-52,3,8361,0,1,-1
3357916,-70,2,16702,15,25,-4,-58,3,8356,0,1,-1
3377916,-62,8,16658,14,25,-3,-49,2,8352,0,1,-1
3397904,-104,6,16708,14,26,-5,-44,1,8342,0,1,-1
3417876,-70,60,16714,14,25,-3,-44,4,8349,0,1,-1
3437872,-126,-8,16730,15,25,-4,-43,9,8357,0,1,-1
3457900,-106,28,16680,15,25,-3,-50,4,8363,0,1,-1
3477844,-122,-2,16666,15,24,-2,-53,6,8353,0,1,-1
3497856,-126,-32,16730,15,25,-4,-52,4,8353,0,1,-1
3517840,-70,28,16674,15,25,-4,-50,3,8346,0,1,-1
3537836,-92,2,16750,14,24,-2,-46,3,8342,0,1,-1
3557816,-82,14,16684,15,25,-4,-48,8,8354,0,1,-1
3577836,-114,18,16706,15,25,-4,-46,0,8350,0,1,-1
3597812,-122,-8,16786,15,24,-3,-47,3,8355,0,1,-1
3617820,-74,-4,16698,15,24,-4,-50,3,8353,0,1,-1
3637796,-96,-44,16656,15,24,-3,-50,-2,8350,0,1,-1
3657808,-100,-8,16674,15,25,-4,-51,-2,8349,0,1,-1
3677776,-118,28,16738,15,25,-4,-48,-3,8342,0,1,-1
3697772,-118,6,16760,15,25,-4,-52,0,8355,0,1,-1
3717756,-60,10,16722,15,24,-4,-52,-2,8356,0,1,-1
3737740,-76,-6,16708,15,26,-3,-51,-8,8360,0,1,-1
3757736,-58,-18,16724,14,24,-3,-44,-2,8358,0,1,-1
3777712,-88,16,16684,15,25,-4,-43,-3,8356,0,1,-1
3797720,-90,-32,16726,15,25,-4,-48,-4,8348,0,1,-1
3817696,-94,4,16694,15,26,-4,-44,-5,8353,0,1,-1
3837696,-96,-10,16672,15,25,-3,-40,-2,8354,0,1,-1
3857716,-62,40,16672,14,25,-4,-42,1,8350,0,1,-1
3877672,-66,0,16712,14,26,-3,-40,2,8347,0,1,-1
3897652,-92,-16,16766,15,25,-4,-41,0,8343,0,1,-1
3917668,-36,-10,16682,16,25,-4,-36,-1,8357,0,1,-1
3937656,-124,-26,16700,15,25,-3,-35,-1,8355,0,1,-1
3957652,-42,62,16700,15,25,-4,-43,-5,8358,0,1,-1
3977644,-72,38,16774,15,27,-4,-41,0,8353,0,1,-1
3997624,-106,18,16752,16,24,-3,-44,5,8363,0,1,-1
4017604,-86,54,16742,15,25,-3,-47,6,8363,0,1,-1
4037620,-140,28,16800,15,25,-3,-49,10,8366,0,1,-1
4057608,-88,-10,16680,15,25,-4,-49,4,8375,0,1,-1
4077632,-74,36,16698,15,25,-4,-53,1,8368,0,1,-1
4097588,-64,-12,16694,14,25,-3,-50,1,8363,0,1,-1
4117592,-84,-18,16740,14,25,-4,-44,-2,8356,0,1,-1
4137572,-98,24,16714,15,24,-3,-50,-6,8360,0,1,-1
4157560,-40,26,16820,16,25,-3,-46,-1,8355,0,1,-1
4177548,-96,18,16712,14,25,-4,-43,4,8371,0,1,-1
4197528,-86,-14,16700,15,25,-4,-51,3,8360,0,1,-1
4217516,-66,14,16744,14,25,-4,-45,-5,8355,0,1,-1
4237516,-112,14,16678,16,25,-4,-40,-2,8359,0,1,-1
4257524,-58,-20,16742,15,25,-3,-43,-5,8357,0,1,-1
4277532,-84,-2,16736,15,25,-3,-41,-9,8362,0,1,-1
4297492,-138,-8,16644,15,24,-4,-40,-10,8356,0,1,-1
4317484,-66,38,16702,14,25,-3,-46,-3,8345,0,1,-1
4337464,-140,-6,16726,15,25,-3,-49,0,8346,0,1,-1
4357452,-52,-16,16654,15,25,-4,-53,1,8346,0,1,-1
4377444,-86,-12,16630,15,25,-4,-45,0,8337,0,1,-1
4397440,-104,-30,16748,15,25,-3,-45,-5,8339,0,1,-1
4417424,-74,-6,16728,15,25,-3,-45,-6,8354,0,1,-1
4437420,-136,10,16612,14,26,-3,-48,-8,8359,0,1,-1
4457436,-96,24,16676,15,25,-2,-48,0,8351,0,1,-1
4477452,-30,-14,16734,15,24,-3,-48,5,8355,0,1,-1
4497428,-156,-66,16698,14,24,-3,-46,0,8362,0,1,-1
4517412,-74,-38,16746,15,25,-3,-49,-6,8359,0,1,-1
4537404,-140,-16,16726,14,25,-4,-46,-12,8364,0,1,-1
4557384,-72,22,16684,15,25,-4,-49,-6,8360,0,1,-1
4577384,-78,2,16656,15,25,-4,-47,-3,8362,0,1,-1
4597360,-110,-24,16712,15,24,-4,-50,-3,8353,0,1,-1
4617352,-64,-32,16682,15,24,-4,-44,-4,8357,0,1,-1
4637344,-148,6,16776,14,25,-4,-45,-9,8354,0,1,-1
4657336,-100,-24,16708,15,24,-4,-50,-6,8359,0,1,-1
4677356,-96,28,16706,15,25,-4,-48,-15,8352,0,1,-1
4697300,-128,-26,16652,14,25,-4,-49,-7,8350,0,1,-1
4717316,-46,70,16716,15,25,-3,-52,-9,8344,0,1,-1
4737304,-102,8,16754,14,25,-3,-54,0,8341,0,1,-1
4757276,-126,28,16688,14,25,-3,-52,-3,8344,0,1,-1
4777276,-50,12,16706,15,24,-3,-55,2,8348,0,1,-1
4797264,-124,-18,16754,15,25,-3,-55,-2,8355,0,1,-1
4817256,-58,-18,16696,15,25,-3,-51,-1,8368,0,1,-1
4837248,-88,-10,16700,15,25,-5,-43,-6,8358,0,1,-1
4857252,-98,10,16802,15,24,-3,-43,-3,8352,0,1,-1
4877296,-118,22,16688,15,25,-5,-46,-1,8353,0,1,-1
4897220,-124,-14,16700,15,24,-3,-49,-2,8354,0,1,-1
4917220,-58,-14,16690,14,26,-3,-49,-5,8355,0,1,-1
4937216,-124,14,16708,15,25,-3,-48,-6,8350,0,1,-1
